suite,scenario,method,profile_id,run_class,target_security_bits,cryptographic_profile,nominal_security_bits,security_match,comparison_eligible,comparison_scope,primitive,protocol_model,output_semantics,assurance_scope,security_basis,cost_scope,precomputation_mode,secure_division_included,measurement_kind,evidence_arm,workload_id,workload_manifest_sha256,execution_trace_sha256,root_seed,omp_threads,omp_dynamic,k,m,set_size,universe_size,target_semantics,target_jaccard_numerator,target_jaccard_denominator,target_jaccard,realized_intersection,realized_union,realized_jaccard,timing_trials,accuracy_trials,trials,hash_randomness,hash_seed,estimator_model,sanitizer_model,sanitizer_assurance,transcript_stat_bits,max_queries,query_stat_bits,coefficient_stat_bits,flood_margin_bits,eval_noise_bits,flood_noise_bits,scaling_mod_size,actual_ring_dim,log_q_bits,plaintext_modulus,num_limbs,openfhe_version,total_ms,total_ms_sd,total_ms_median,jaccard_computed,jaccard_expected,jaccard_error,intersection_count,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,ct_size_bytes,comm_bytes,measurement_status
toy-smoke,review-64,piccard,toy-smoke,smoke,0,live-BFV-TOY,0,true,false,end-to-end-estimator,bfv-onehot-minhash,piccard-two-owner-outsourced,bias-corrected-jaccard-estimate,live-bfv+empirical-sanitizer-poc,openfhe-hesea-standard-live-context,full-query-excluding-one-time-setup,crs-and-keys-only,false,fhe-timing,timing,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,16,16,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,fixed,15329580584519071531,sha256-random-ranking-poc-v1,phase-smudging-enc0-poc-v1,empirical-phase-statistical+ciphertext-computational,40,1048576,60,70,8,56,134,40,1024,160.000000,12289,4,1.5.0,4.368000,,4.368000,0.600000,0.538462,0.061538,,,,,,,,measured
toy-smoke,review-64,piccard,toy-smoke,smoke,0,live-BFV-TOY,0,true,false,end-to-end-estimator,bfv-onehot-minhash,piccard-two-owner-outsourced,bias-corrected-jaccard-estimate,live-bfv+empirical-sanitizer-poc,openfhe-hesea-standard-live-context,full-query-excluding-one-time-setup,crs-and-keys-only,false,fhe-accuracy,accuracy,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,16,16,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,resampled,,sha256-random-ranking-poc-v1,phase-smudging-enc0-poc-v1,empirical-phase-statistical+ciphertext-computational,40,1048576,60,70,8,56,134,40,1024,160.000000,12289,4,1.5.0,4.400083,,4.400083,0.333333,0.538462,0.205128,,,,,,,,measured
toy-smoke,review-64,piccard_sqrt,toy-smoke,smoke,0,live-BFV-TOY,0,true,false,end-to-end-estimator,bfv-sqrt-minhash,piccard-sqrt-two-owner-outsourced,bias-corrected-jaccard-estimate,live-bfv+empirical-sanitizer-poc,openfhe-hesea-standard-live-context,full-query-excluding-one-time-setup,crs-and-keys-only,false,fhe-timing,timing,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,16,16,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,fixed,15329580584519071531,sha256-random-ranking-poc-v1,phase-smudging-enc0-poc-v1,empirical-phase-statistical+ciphertext-computational,40,1048576,60,70,8,92,170,40,1024,200.000000,12289,5,1.5.0,5.937959,,5.937959,0.600000,0.538462,0.061538,,,,,,,,measured
toy-smoke,review-64,piccard_sqrt,toy-smoke,smoke,0,live-BFV-TOY,0,true,false,end-to-end-estimator,bfv-sqrt-minhash,piccard-sqrt-two-owner-outsourced,bias-corrected-jaccard-estimate,live-bfv+empirical-sanitizer-poc,openfhe-hesea-standard-live-context,full-query-excluding-one-time-setup,crs-and-keys-only,false,fhe-accuracy,accuracy,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,16,16,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,resampled,,sha256-random-ranking-poc-v1,phase-smudging-enc0-poc-v1,empirical-phase-statistical+ciphertext-computational,40,1048576,60,70,8,92,170,40,1024,200.000000,12289,5,1.5.0,6.232458,,6.232458,0.333333,0.538462,0.205128,,,,,,,,measured
toy-smoke,review-64,fhe_ind,toy-smoke,smoke,0,live-BFV-TOY,0,true,false,diagnostic-only,bfv-indicator-comparison,local-universe-sized-BFV-comparator,scalar-intersection-plaintext-jaccard,live-bfv-primitive-only,openfhe-hesea-standard-live-context,primitive-only,not-applicable,false,diagnostic,timing,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,,,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,1024,120.000000,12289,2,1.5.0,2.268292,,2.268292,0.538462,0.538462,0.000000,7,0.000625,0.563042,1.648833,0.055792,33635,101105,measured
toy-smoke,review-64,fhe_ind,toy-smoke,smoke,0,live-BFV-TOY,0,true,false,diagnostic-only,bfv-indicator-comparison,local-universe-sized-BFV-comparator,scalar-intersection-plaintext-jaccard,live-bfv-primitive-only,openfhe-hesea-standard-live-context,primitive-only,not-applicable,false,diagnostic,accuracy,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,,,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,1024,120.000000,12289,2,1.5.0,2.427167,,2.427167,0.538462,0.538462,0.000000,7,0.000750,0.575500,1.793834,0.057083,33635,101105,measured
toy-smoke,review-64,bcg12_mh_ec,toy-smoke,smoke,0,P-256,128,false,false,matched-estimator-component,bcg12-ec,bcg12-cardinality-on-minhash,minhash-collision-jaccard-estimate,implemented-baseline-parameter-map,nist-p256-parameter-map,full-query-excluding-one-time-setup,crs-and-keys-only,false,psi-timing,timing,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,16,,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,fixed,15329580584519071531,sha256-random-ranking-poc-v1,not-applicable,not-applicable,,,,,,,,,,,,,not-applicable,1.120958,,1.120958,0.437500,0.538462,0.100962,,,,,,,,measured
toy-smoke,review-64,bcg12_mh_ec,toy-smoke,smoke,0,P-256,128,false,false,matched-estimator-component,bcg12-ec,bcg12-cardinality-on-minhash,minhash-collision-jaccard-estimate,implemented-baseline-parameter-map,nist-p256-parameter-map,full-query-excluding-one-time-setup,crs-and-keys-only,false,psi-accuracy,accuracy,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,16,,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,resampled,,sha256-random-ranking-poc-v1,not-applicable,not-applicable,,,,,,,,,,,,,not-applicable,1.177293,,1.177293,0.375000,0.538462,0.163462,,,,,,,,measured
toy-smoke,review-64,bcg12_exact_ec,toy-smoke,smoke,0,P-256,128,false,false,matched-cardinality-component,bcg12-ec,bcg12-exact-cardinality,harness-reconstructed-exact-jaccard,implemented-baseline-parameter-map,nist-p256-parameter-map,full-query-excluding-one-time-setup,crs-and-keys-only,false,psi-timing,timing,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,,,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,,,,,not-applicable,0.775166,,0.775166,0.538462,0.538462,0.000000,,,,,,,,measured
toy-smoke,review-64,bcg12_exact_ec,toy-smoke,smoke,0,P-256,128,false,false,matched-cardinality-component,bcg12-ec,bcg12-exact-cardinality,harness-reconstructed-exact-jaccard,implemented-baseline-parameter-map,nist-p256-parameter-map,full-query-excluding-one-time-setup,crs-and-keys-only,false,psi-accuracy,accuracy,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,,,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,,,,,not-applicable,0.705126,,0.705126,0.538462,0.538462,0.000000,,,,,,,,measured
toy-smoke,review-64,sj16,toy-smoke,smoke,0,Paillier-1024,80,false,false,component-lower-bound,paillier-1024,sj16-intersection-shares,harness-reconstructed-jaccard-with-plaintext-union,intersection-shares-lower-bound,rsa-ifc-modulus-size-proxy-approximately-80-bits,full-query-excluding-one-time-setup,randomizer-generation-included,false,ahe-timing,timing,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,,,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,,,,,not-applicable,22.656499,,22.656499,0.538462,0.538462,0.000000,,,,,,,,measured
toy-smoke,review-64,sj16,toy-smoke,smoke,0,Paillier-1024,80,false,false,component-lower-bound,paillier-1024,sj16-intersection-shares,harness-reconstructed-jaccard-with-plaintext-union,intersection-shares-lower-bound,rsa-ifc-modulus-size-proxy-approximately-80-bits,full-query-excluding-one-time-setup,randomizer-generation-included,false,ahe-accuracy,accuracy,review-64-00211dec55e8f116,00211dec55e8f1163451e34662bc7c48cb0af44a98e7fe8c1d8ba73b335e950a,2707d649854269ceaecfc7a57d9f501210a8303017d97a029cd68650856a121b,7,2,false,,,10,64,jaccard,1,2,0.500000000000,7,13,0.538461538462,1,1,1,not-applicable,,not-applicable,not-applicable,not-applicable,,,,,,,,,,,,,not-applicable,22.620334,,22.620334,0.538462,0.538462,0.000000,,,,,,,,measured
